id,created_at,reference,pac_values_1,pac_values_2,pac_values_3,pac_values_4,total_energy_values_1,total_energy_values_2,total_energy_values_3,total_energy_values_4,year_energy_values_1,year_energy_values_2,year_energy_values_3,year_energy_values_4,year_energy_unit
2936519,May 17 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7780600.0,9517900.0,0.0,0.0,5111800.0,6325400.0,0.0,0.0,Wh
2936520,May 17 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12247400.0,12098000.0,7433990.0,7323660.0,7026640.0,6966170.0,4291660.0,4146790.0,Wh
2936521,May 17 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7780600.0,9517900.0,0.0,0.0,5111800.0,6325400.0,0.0,0.0,Wh
2936522,May 17 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12247400.0,12098000.0,7433990.0,7323660.0,7026640.0,6966170.0,4291660.0,4146790.0,Wh
2936523,May 17 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7780600.0,9517900.0,0.0,0.0,5111800.0,6325400.0,0.0,0.0,Wh
2936524,May 17 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12247400.0,12098000.0,7433990.0,7323660.0,7026640.0,6966170.0,4291660.0,4146790.0,Wh
2936525,May 17 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12247400.0,12098000.0,7433990.0,7323660.0,7026640.0,6966170.0,4291660.0,4146790.0,Wh
2936526,May 17 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7780600.0,9517900.0,0.0,0.0,5111800.0,6325400.0,0.0,0.0,Wh
2936527,May 17 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7780600.0,9517900.0,0.0,0.0,5111800.0,6325400.0,0.0,0.0,Wh
2936528,May 17 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12247400.0,12098000.0,7433990.0,7323660.0,7026640.0,6966170.0,4291660.0,4146790.0,Wh
2919913,May 16 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12171300.0,12023000.0,7383050.0,7273560.0,6950530.0,6891200.0,4240720.0,4096680.0,Wh
2919914,May 16 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7779340.0,9516440.0,0.0,0.0,5110540.0,6323940.0,0.0,0.0,Wh
2919915,May 16 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12171300.0,12023000.0,7383050.0,7273560.0,6950530.0,6891200.0,4240720.0,4096680.0,Wh
2919916,May 16 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7779340.0,9516440.0,0.0,0.0,5110540.0,6323940.0,0.0,0.0,Wh
2919917,May 16 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12171300.0,12023000.0,7383050.0,7273560.0,6950530.0,6891200.0,4240720.0,4096680.0,Wh
2919918,May 16 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7779340.0,9516440.0,0.0,0.0,5110540.0,6323940.0,0.0,0.0,Wh
2919919,May 16 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12171300.0,12023000.0,7383050.0,7273560.0,6950530.0,6891200.0,4240720.0,4096680.0,Wh
2919920,May 16 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7779340.0,9516440.0,0.0,0.0,5110540.0,6323940.0,0.0,0.0,Wh
2919921,May 16 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12171300.0,12023000.0,7383050.0,7273560.0,6950530.0,6891200.0,4240720.0,4096680.0,Wh
2919922,May 16 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7779340.0,9516440.0,0.0,0.0,5110540.0,6323940.0,0.0,0.0,Wh
2902952,May 15 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7741370.0,9470760.0,0.0,0.0,5072560.0,6278260.0,0.0,0.0,Wh
2902953,May 15 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12149700.0,12001400.0,7372590.0,7259250.0,6928910.0,6869620.0,4230260.0,4082370.0,Wh
2902954,May 15 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7741370.0,9470760.0,0.0,0.0,5072560.0,6278260.0,0.0,0.0,Wh
2902955,May 15 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12149700.0,12001400.0,7372590.0,7259250.0,6928910.0,6869620.0,4230260.0,4082370.0,Wh
2902956,May 15 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7741370.0,9470760.0,0.0,0.0,5072560.0,6278260.0,0.0,0.0,Wh
2902957,May 15 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12149700.0,12001400.0,7372590.0,7259250.0,6928910.0,6869620.0,4230260.0,4082370.0,Wh
2902958,May 15 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7741370.0,9470760.0,0.0,0.0,5072560.0,6278260.0,0.0,0.0,Wh
2902959,May 15 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12149700.0,12001400.0,7372590.0,7259250.0,6928910.0,6869620.0,4230260.0,4082370.0,Wh
2902960,May 15 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7741370.0,9470760.0,0.0,0.0,5072560.0,6278260.0,0.0,0.0,Wh
