id,date,energyreal_wac_sum_consumed,energyreal_wac_sum_produced,current_ac_sum,powerreal_p_sum,reference,voltage_ac_phase_average
3108530,"['May', '16', '2022', '00:00:00']",33843600.0,242388.0,65.1581,7403.19,comfenalco1-meter,127.0
3108531,"['May', '16', '2022', '00:00:00']",3202100.0,12528600.0,5.14009,342.882,takurika1-meter,125.047
3108532,"['May', '16', '2022', '00:00:00']",16537400.0,22086.0,44.6099,5397.92,edlv-meter,126.678
3108533,"['May', '16', '2022', '00:00:00']",33843700.0,242388.0,64.4703,7308.29,comfenalco1-meter,126.997
3108534,"['May', '16', '2022', '00:00:00']",3202100.0,12528600.0,5.14234,343.748,takurika1-meter,125.156
3108535,"['May', '16', '2022', '00:00:00']",33843700.0,242388.0,64.663,7339.68,comfenalco1-meter,127.154
3108536,"['May', '16', '2022', '00:00:00']",3202100.0,12528600.0,5.13959,343.197,takurika1-meter,125.295
3108537,"['May', '16', '2022', '00:00:00']",33843700.0,242388.0,64.2339,7270.4,comfenalco1-meter,127.009
3108538,"['May', '16', '2022', '00:00:00']",3202100.0,12528600.0,5.13756,343.246,takurika1-meter,125.128
3108539,"['May', '16', '2022', '00:00:00']",33843700.0,242388.0,64.1269,7258.18,comfenalco1-meter,127.209
3090036,"['May', '15', '2022', '00:00:00']",3170640.0,12509400.0,4.78267,309.88,takurika1-meter,124.931
3090037,"['May', '15', '2022', '00:00:00']",33763300.0,242268.0,41.02,4316.35,comfenalco1-meter,126.936
3090038,"['May', '15', '2022', '00:00:00']",16467600.0,22057.0,58.622,7205.38,edlv-meter,125.729
3090039,"['May', '15', '2022', '00:00:00']",3170640.0,12509400.0,4.77291,309.023,takurika1-meter,124.906
3090040,"['May', '15', '2022', '00:00:00']",33763300.0,242268.0,40.4632,4235.59,comfenalco1-meter,126.903
3090041,"['May', '15', '2022', '00:00:00']",3170640.0,12509400.0,4.77199,309.346,takurika1-meter,124.878
3090042,"['May', '15', '2022', '00:00:00']",33763300.0,242268.0,40.4106,4230.05,comfenalco1-meter,126.918
3090043,"['May', '15', '2022', '00:00:00']",3170650.0,12509400.0,4.77759,308.726,takurika1-meter,124.872
3090044,"['May', '15', '2022', '00:00:00']",33763300.0,242268.0,40.9822,4307.93,comfenalco1-meter,126.925
3090045,"['May', '15', '2022', '00:00:00']",3170650.0,12509400.0,4.77909,309.216,takurika1-meter,124.862
3071772,"['May', '14', '2022', '00:00:00']",16371500.0,22034.0,53.593,6487.27,edlv-meter,126.495
3071773,"['May', '14', '2022', '00:00:00']",3125200.0,12502100.0,4.7312,310.283,takurika1-meter,124.575
3071774,"['May', '14', '2022', '00:00:00']",33661900.0,242245.0,75.5852,8752.66,comfenalco1-meter,127.124
3071775,"['May', '14', '2022', '00:00:00']",3125200.0,12502100.0,4.72965,309.937,takurika1-meter,124.455
3071776,"['May', '14', '2022', '00:00:00']",33662100.0,242245.0,75.44,8731.14,comfenalco1-meter,127.031
3071777,"['May', '14', '2022', '00:00:00']",3125200.0,12502100.0,4.72716,310.736,takurika1-meter,124.564
3071778,"['May', '14', '2022', '00:00:00']",33662100.0,242245.0,76.5186,8876.86,comfenalco1-meter,127.107
3071779,"['May', '14', '2022', '00:00:00']",3125210.0,12502100.0,4.72327,310.204,takurika1-meter,124.614
3071780,"['May', '14', '2022', '00:00:00']",33662100.0,242245.0,77.1014,8948.19,comfenalco1-meter,127.154
3071781,"['May', '14', '2022', '00:00:00']",3125210.0,12502100.0,4.72358,309.639,takurika1-meter,124.614
3053543,"['May', '13', '2022', '00:00:00']",33387600.0,242245.0,39.7663,4028.8,comfenalco1-meter,125.078
3053544,"['May', '13', '2022', '00:00:00']",16259400.0,22015.0,38.983,4729.74,edlv-meter,125.68
3053545,"['May', '13', '2022', '00:00:00']",3119280.0,12472700.0,5.25641,361.969,takurika1-meter,125.402
3053546,"['May', '13', '2022', '00:00:00']",33387600.0,242245.0,39.7864,4033.17,comfenalco1-meter,125.137
3053547,"['May', '13', '2022', '00:00:00']",3119280.0,12472700.0,5.25347,361.214,takurika1-meter,125.468
3053548,"['May', '13', '2022', '00:00:00']",33387600.0,242245.0,39.8391,4035.37,comfenalco1-meter,125.138
3053549,"['May', '13', '2022', '00:00:00']",3119280.0,12472700.0,5.25346,361.509,takurika1-meter,125.475
3053550,"['May', '13', '2022', '00:00:00']",33387600.0,242245.0,39.8537,4038.23,comfenalco1-meter,125.126
3053551,"['May', '13', '2022', '00:00:00']",3119290.0,12472700.0,5.24735,361.346,takurika1-meter,125.483
3053552,"['May', '13', '2022', '00:00:00']",33387600.0,242245.0,39.5801,4014.91,comfenalco1-meter,125.103
3035393,"['May', '12', '2022', '00:00:00']",33205300.0,242176.0,36.8536,3561.7,comfenalco1-meter,124.106
3035394,"['May', '12', '2022', '00:00:00']",16184900.0,21854.0,38.9179,4711.69,edlv-meter,127.139
3035395,"['May', '12', '2022', '00:00:00']",3098400.0,12440900.0,4.55342,311.347,takurika1-meter,124.569
3035396,"['May', '12', '2022', '00:00:00']",33205300.0,242176.0,37.3022,3632.98,comfenalco1-meter,124.179
3035397,"['May', '12', '2022', '00:00:00']",3098400.0,12440900.0,4.546,310.718,takurika1-meter,124.593
3035398,"['May', '12', '2022', '00:00:00']",33205300.0,242176.0,37.3726,3636.8,comfenalco1-meter,124.129
3035399,"['May', '12', '2022', '00:00:00']",3098400.0,12440900.0,4.55405,311.22,takurika1-meter,124.543
3035400,"['May', '12', '2022', '00:00:00']",33205300.0,242176.0,37.3374,3634.84,comfenalco1-meter,124.203
3035401,"['May', '12', '2022', '00:00:00']",3098400.0,12440900.0,4.54474,310.422,takurika1-meter,124.64
3035402,"['May', '12', '2022', '00:00:00']",33205300.0,242176.0,37.401,3641.04,comfenalco1-meter,124.163
3017883,"['May', '11', '2022', '00:00:00']",33035700.0,242125.0,38.6675,3982.86,comfenalco1-meter,128.317
3017884,"['May', '11', '2022', '00:00:00']",3091590.0,12395900.0,4.69663,312.514,takurika1-meter,125.523
3017885,"['May', '11', '2022', '00:00:00']",16109800.0,21815.0,36.4211,4400.41,edlv-meter,127.294
3017886,"['May', '11', '2022', '00:00:00']",33035700.0,242125.0,38.6302,3976.36,comfenalco1-meter,128.31
3017887,"['May', '11', '2022', '00:00:00']",3091590.0,12395900.0,4.68681,311.961,takurika1-meter,125.493
3017888,"['May', '11', '2022', '00:00:00']",33035800.0,242125.0,38.6855,3983.18,comfenalco1-meter,128.39
3017889,"['May', '11', '2022', '00:00:00']",3091590.0,12395900.0,4.69413,312.106,takurika1-meter,125.466
3017890,"['May', '11', '2022', '00:00:00']",33035800.0,242125.0,38.6771,3989.85,comfenalco1-meter,128.3
3017891,"['May', '11', '2022', '00:00:00']",3091600.0,12395900.0,4.68769,311.132,takurika1-meter,125.419
3017892,"['May', '11', '2022', '00:00:00']",33035800.0,242125.0,38.2217,3910.91,comfenalco1-meter,128.269
3004254,"['May', '10', '2022', '00:00:00']",32833600.0,242056.0,66.4176,7334.79,comfenalco1-meter,128.031
3004255,"['May', '10', '2022', '00:00:00']",16043500.0,21652.0,34.7294,4271.77,edlv-meter,127.861
3004256,"['May', '10', '2022', '00:00:00']",32833600.0,242056.0,65.4372,7187.19,comfenalco1-meter,127.809
3004257,"['May', '10', '2022', '00:00:00']",32833700.0,242056.0,65.4823,7191.48,comfenalco1-meter,127.829
3004258,"['May', '10', '2022', '00:00:00']",32833700.0,242056.0,65.3429,7183.66,comfenalco1-meter,128.031
3004259,"['May', '10', '2022', '00:00:00']",32833700.0,242056.0,65.8693,7247.24,comfenalco1-meter,127.905
